source_id,vintage_id,missing_fields,publication_date,publication_date_source,availability_quality,consequence
bank_reference,bank_reference:cd800f82e64f8f2a0b65eea7,official_url; release_identifier,NA,pending_content_inference,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
banking_indicators,banking_indicators:c57dc0f6a422ac9e54dafccd,official_url; release_identifier,2026-06-30,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
banks,banks:3809900872e5af28e11ae86e,official_url; release_identifier,2026-07-31,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
bcp_fx_daily,bcp_fx_daily:a45bea1e1508bb019befcac9,official_url; release_identifier,2026-08-14,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
compensatory_fx_sales,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,official_url; release_identifier,2026-07-31,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
corporate_bond_curves,corporate_bond_curves:e5d5a3a5c3e2b00d96d76a11,official_url; release_identifier,2026-07-31,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
credit_survey,credit_survey:58a83c5bcd64e4423fc13c40,official_url; release_identifier,2026-06-30,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
direct_investment,direct_investment:fbc612f5e64f6905a2e84928,official_url; release_identifier,2024-12-31,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
economic_annex,economic_annex:25818cb75022083e13cab48e,official_url; release_identifier,2026-08-13,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
eve,eve:9eef7e154e7e7c6f3990e0fc,official_url; release_identifier,2026-08-31,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
exchange_houses,exchange_houses:93e85a8013fb6cf2b842f72e,official_url; release_identifier,2026-07-31,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
exchange_rates,exchange_rates:a822c1e0cb97438c1bde2836,official_url; release_identifier,2026-07-31,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
financial,financial:5ebb0bcb3260e482dbf6f83e,official_url; release_identifier,2026-07-31,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
financial_indicators,financial_indicators:f9ded3c4fe24e11b14caa1df,official_url; release_identifier,2026-06-30,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
fx_operations,fx_operations:40495acf211c2c2d11664e42,official_url; release_identifier,2026-07-31,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
icc,icc:b15c74f9723cd0465d088b85,official_url; release_identifier,2026-07-31,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
insurance_annex,insurance_annex:7cb2b1d2ffa3badb8113e890,official_url; release_identifier,2025-06-30,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
interbank_market,interbank_market:dbcda6fadd28e3dd5bb3afc2,official_url; release_identifier,2026-08-14,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
liquidity_facility,liquidity_facility:d0704796350e86652138be52,official_url; release_identifier,2021-09-09,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
lrm_auctions,lrm_auctions:b7e160f57d37a215d182eaef,official_url; release_identifier,2026-07-30,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
payments,payments:de7b4a670c8e2d7430cd91d6,official_url; release_identifier,2026-07-31,filename,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
securities_trades,securities_trades:80f03b3d8b9c898031344ee4,official_url; release_identifier,2026-08-19,content_max_period,inferred_upper_bound,"the vintage cannot be independently re-acquired, and availability is an upper bound taken from the archive time rather than the publisher's release timestamp, so an as-of query sees this vintage later than a researcher really could have"
