source_id,source_sheet,row_from,row_to,column_from,column_to,classification,expected_cells,reason,evidence,reviewed_by,reviewed_at
credit_survey,%,7,431,2,55,subtotal_or_formula,3598,"Each question block closes with a response-share total row that sums the labelled response rows above it. It carries no response label of its own, so it names no series.","The unread cells are 3,466 values of exactly 1, 101 zeros for quarters where the question was not asked, and 31 values between 0.885 and 0.999 where responses do not sum exactly because of rounding or partial non-response. 71 of the 80 rows have an empty label column; the other 9 carry the question text itself (row 76: '9 - Ordene las siguientes actividades segun su criterio de riesgo.').",layout_verified,2026-08-29
exchange_rates,USD Prom,26,113,2,18,subtotal_or_formula,104,Annual PROMEDIO rows and the year-header row of each block. The average is derived from the twelve months above it; the year cells are the period axis.,"Row 26 is labelled PROMEDIO and holds 12 values, one per currency-side column; row 28 holds 6 values which are the year numbers 1995, 1996, 1997, 1998, 1999, 2000 sitting in the block header. The pattern repeats every 17 rows to row 113.",layout_verified,2026-08-29
exchange_rates,PESO Fin Mes,26,97,2,18,subtotal_or_formula,87,"Annual PROMEDIOS rows and the year-header row of each block, as on the USD sheet.","Row 26 is labelled PROMEDIOS; the following block-header row holds the year numbers of the block (2000, 2001, ...) rather than exchange rates.",layout_verified,2026-08-29
exchange_rates,REAL Fin Mes,26,99,2,18,subtotal_or_formula,87,"Annual PROMEDIOS rows and the year-header row of each block, as on the USD sheet.","Row 26 is labelled PROMEDIOS; the following block-header row holds the year numbers of the block (2000, 2006, 2012, 2018) rather than exchange rates.",layout_verified,2026-08-29
exchange_rates,EURO Prom,26,79,2,18,subtotal_or_formula,67,"Annual PROMEDIOS rows and the year-header row of each block, as on the USD sheet.","Row 26 is labelled PROMEDIOS; the block-header rows hold the year numbers 2008, 2014, 2020 and 2026 rather than exchange rates.",layout_verified,2026-08-29
exchange_rates,EURO Fin Mes,26,79,2,18,subtotal_or_formula,61,"Annual PROMEDIOS rows and the year-header row of each block, as on the USD sheet.","Row 26 is labelled PROMEDIOS; the block-header rows hold the year numbers 2008, 2014, 2020 and 2023 rather than exchange rates.",layout_verified,2026-08-29
exchange_rates,Cotizaciones Diarias,43,93,2,11,subtotal_or_formula,21,The unlabelled row after the last day of each month is the published monthly average of the days above it.,Row 43 is labelled Promedio and holds 5993.94 against daily values of 5928 to 5936 on rows 40 to 42; row 93 is unlabelled and holds 133.52 against 135 on each of the three preceding days.,layout_verified,2026-08-29
exchange_rates,Cotizaciones Diarias,111,141,10,11,out_of_scope_block,62,"The fifth currency slot of the July 2026 block was published without a currency, and every cell in it is zero.","Row 109 column 10 holds '-' where the other blocks name a currency (Corona Sueca, Corona Danesa, Dolar Canadiense, Dolar Australiano); columns 10 and 11 hold 0 on every one of the 31 days.",layout_verified,2026-08-29
economic_annex,CUADRO 35,294,357,12,12,out_of_scope_block,3,Column 12 carries no published header and holds three isolated values in a sheet of 350 monthly rows.,"Rows 10 and 11 label columns 10 and 11 'Total' and leave column 12 blank; column 12 holds values only at rows 294, 356 and 357, one of which (13305525.79 at row 357) duplicates column 11 on the same row.",layout_verified,2026-08-29
compensatory_fx_sales,Ventas(DatosMensuales),114,118,9,9,subtotal_or_formula,5,"The Total Ventas cell of the five months of the current year that the publisher has not reported yet. The sheet is a template for the whole calendar year and its total column carries a formula down every row of the block, so an unreported month shows a cached zero over two empty component cells rather than an empty cell.","Row 113 (Julio 2026) holds explicit zeros in all three cells of the 2026 block, G113, H113 and I113. Rows 114 to 118 (Agosto to Diciembre) leave G and H empty and hold 0 in I; I107 carries the formula '=+G107+H107' and I114 to I118 are listed in xl/calcChain.xml. The workbook's dcterms:modified is 2026-08-03, so September to December 2026 had not occurred when it was published.",layout_verified,2026-08-30
