source_id,source_sheet,row_from,row_to,column_from,column_to,classification,expected_cells,reason,evidence,reviewed_by,reviewed_at
economic_annex,Cuadro 46a,*,*,393,399,report_layout_derived,994,"The seven columns the publisher prints to the right of the monthly axis are cumulative-to-date levels and their variations, not months. They restate data already in the table and are report layout.","Row 12 heads columns 393-399 'A Julio 2024', 'A Julio 2025*', 'A Julio 2026*', 'Var. Nominal A Julio 2026/2025', 'Var. % A Julio 2026/2025', 'Incidencia' and 'Var. % Interanual Julio 2026/2025', immediately after column 392 which is headed 2026-07-01. Row 14 holds 148171.04443, 165358.09457, 158469.496, -6888.599, -4.166, -0.0697 and 22.709 across them.",layout_verified,2026-08-30
economic_annex,Cuadro 46b,*,*,393,399,report_layout_derived,992,"The same seven cumulative-to-date and variation columns as Cuadro 46a, on the paired sheet.","Row 12 heads columns 393-399 'A Julio 2024', 'A Julio 2025*', 'A Julio 2026*', 'Var. Nominal', 'Var. %', 'Incidencia' and 'Var. % Interanual', immediately after column 392 headed 2026-07-01.",layout_verified,2026-08-30
economic_annex,Cuadro 51a,*,*,393,399,report_layout_derived,446,The same seven cumulative-to-date and variation columns the foreign-trade sheets print to the right of the monthly axis.,"Row 10 heads columns 393-399 with the 'A Julio' cumulative levels and the Var. Nominal, Var. %, Incidencia and Var. % Interanual columns, immediately after column 392 headed 2026-07-01.",layout_verified,2026-08-30
economic_annex,Cuadro 51b,*,*,393,399,report_layout_derived,446,"The same seven cumulative-to-date and variation columns as Cuadro 51a, on the paired sheet.","Row 10 heads columns 393-399 with the 'A Julio' cumulative levels and the Var. Nominal, Var. %, Incidencia and Var. % Interanual columns, immediately after column 392 headed 2026-07-01.",layout_verified,2026-08-30
economic_annex,Cuadro 53a,*,*,393,399,report_layout_derived,1011,The same seven cumulative-to-date and variation columns the foreign-trade sheets print to the right of the monthly axis.,"Row 12 heads columns 393-399 'A Julio 2024', 'A Julio 2025*', 'A Julio 2026*', 'Var. Nominal A Julio 2026/2025', 'Var. % A Julio 2026/2025', 'Incidencia' and 'Var. % Interanual Julio 2026/2025'; row 14 holds 148171.04443, 165358.09457, 158469.496, -6888.599, -4.166, -0.0697 and 22.709.",layout_verified,2026-08-30
economic_annex,Cuadro 53b,*,*,393,399,report_layout_derived,1011,"The same seven cumulative-to-date and variation columns as Cuadro 53a, on the paired sheet.","Row 12 heads columns 393-399 with the 'A Julio' cumulative levels and the Var. Nominal, Var. %, Incidencia and Var. % Interanual columns, immediately after column 392 headed 2026-07-01.",layout_verified,2026-08-30
economic_annex,Cuadro 52a,*,*,743,757,report_layout_derived,903,"Cuadro 52 publishes three measures per period, so its cumulative-to-date and variation block is fifteen columns wide rather than seven. All fifteen restate data already in the table.","Row 10 heads columns 743, 746, 749, 752 and 755 'A Julio 2025*', 'A Julio 2026*', 'Var. %  a A Julio 2026/2025', 'Incidencia' and 'Var. % Interanual Julio 2026/2025', and row 12 repeats 'Importación Registrada', 'Importacion bajo el Regimen de Turismo' and 'Importacion para consumo interno' under each of them.",layout_verified,2026-08-30
economic_annex,Cuadro 52b,*,*,743,757,report_layout_derived,903,"The same fifteen cumulative-to-date and variation columns as Cuadro 52a, on the paired sheet.","Row 10 heads columns 743, 746, 749, 752 and 755 with the 'A Julio' cumulative levels and the Var. %, Incidencia and Var. % Interanual columns, each spanning the three published import measures named on row 12.",layout_verified,2026-08-30
banking_indicators,1,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R7C2=2016-01-01, R8C2=2016-02-01, R9C2=2016-03-01.",layout_verified,2026-08-30
banking_indicators,2,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R7C2=2016-01-01, R8C2=2016-02-01, R9C2=2016-03-01.",layout_verified,2026-08-30
banking_indicators,3,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R6C2=2016-01-01, R7C2=2016-02-01, R8C2=2016-03-01.",layout_verified,2026-08-30
banking_indicators,4,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R7C2=2016-01-01, R8C2=2016-02-01, R9C2=2016-03-01.",layout_verified,2026-08-30
banking_indicators,5,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R7C2=2016-01-01, R8C2=2016-02-01, R9C2=2016-03-01.",layout_verified,2026-08-30
banking_indicators,6,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R6C2=2016-01-01, R7C2=2016-02-01, R8C2=2016-03-01.",layout_verified,2026-08-30
banking_indicators,7,*,*,2,2,period_axis,126,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 126 out-of-region numeric cells in column 2 is a period label: 126 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R6C2=2016-01-01, R7C2=2016-02-01, R8C2=2016-03-01.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2013(DatosDiarios),*,*,1,1,period_axis,250,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 250 out-of-region numeric cells in column 1 is a period label: 250 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2013-01-02, R15C1=2013-01-03, R16C1=2013-01-04.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2014(DatosDiarios),*,*,1,1,period_axis,249,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 249 out-of-region numeric cells in column 1 is a period label: 249 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2014-01-02, R15C1=2014-01-03, R16C1=2014-01-06.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2015(DatosDiarios),*,*,1,1,period_axis,249,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 249 out-of-region numeric cells in column 1 is a period label: 249 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2015-01-02, R15C1=2015-01-05, R16C1=2015-01-06.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2016(DatosDiarios),*,*,1,1,period_axis,253,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 253 out-of-region numeric cells in column 1 is a period label: 253 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2016-01-04, R15C1=2016-01-05, R16C1=2016-01-06.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2017(DatosDiarios),*,*,1,1,period_axis,249,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 249 out-of-region numeric cells in column 1 is a period label: 249 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2017-01-02, R15C1=2017-01-03, R16C1=2017-01-04.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2018(DatosDiarios),*,*,1,1,period_axis,250,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 250 out-of-region numeric cells in column 1 is a period label: 250 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2018-01-02, R15C1=2018-01-03, R16C1=2018-01-04.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2019(DatosDiarios),*,*,1,1,period_axis,250,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 250 out-of-region numeric cells in column 1 is a period label: 250 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2019-01-02, R15C1=2019-01-03, R16C1=2019-01-04.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2020(DatosDiarios),*,*,1,1,period_axis,241,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 241 out-of-region numeric cells in column 1 is a period label: 241 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2020-01-02, R15C1=2020-01-03, R16C1=2020-01-06.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2021(DatosDiarios),*,*,1,1,period_axis,253,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 253 out-of-region numeric cells in column 1 is a period label: 253 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2021-01-04, R15C1=2021-01-05, R16C1=2021-01-06.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2022(DatosDiarios),*,*,1,1,period_axis,251,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 251 out-of-region numeric cells in column 1 is a period label: 251 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2022-01-03, R15C1=2022-01-04, R16C1=2022-01-05.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2023(DatosDiarios),*,*,1,1,period_axis,249,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 249 out-of-region numeric cells in column 1 is a period label: 249 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2023-01-02, R15C1=2023-01-03, R16C1=2023-01-04.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2024(DatosDiarios),*,*,1,1,period_axis,250,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 250 out-of-region numeric cells in column 1 is a period label: 250 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2024-01-02, R15C1=2024-01-03, R16C1=2024-01-04.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2025(DatosDiarios),*,*,1,1,period_axis,247,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 247 out-of-region numeric cells in column 1 is a period label: 247 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2025-01-02, R15C1=2025-01-03, R16C1=2025-01-06.",layout_verified,2026-08-30
bcp_fx_daily,OpDivisas2026(DatosDiarios),*,*,1,1,period_axis,153,"Column 1 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.","Every one of the 153 out-of-region numeric cells in column 1 is a period label: 153 are stored Excel dates and 0 are integers between 1900 and 2100. First three: R14C1=2026-01-02, R15C1=2026-01-05, R16C1=2026-01-06.",layout_verified,2026-08-30
credit_survey,Índices,*,*,2,2,period_axis,1,"Column 2 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.",Every one of the 1 out-of-region numeric cells in column 2 is a period label: 0 are stored Excel dates and 1 are integers between 1900 and 2100. First three: R1C2=2015.,layout_verified,2026-08-30
credit_survey,Índices,*,*,6,6,period_axis,1,"Column 6 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.",Every one of the 1 out-of-region numeric cells in column 6 is a period label: 0 are stored Excel dates and 1 are integers between 1900 and 2100. First three: R1C6=2016.,layout_verified,2026-08-30
credit_survey,Índices,*,*,10,10,period_axis,1,"Column 10 lie outside the rectangle the parser consumed and carry the sheet's period labels, not measures. Excel stores a date as a number, which is why they are counted as numeric source cells at all.",Every one of the 1 out-of-region numeric cells in column 10 is a period label: 0 are stored Excel dates and 1 are integers between 1900 and 2100. First three: R1C10=2017.,layout_verified,2026-08-30
