cultivo,temporada,etapa,mes_inicio,parte_inicio,mes_fin,parte_fin,documento,pagina,cita_textual,nota
soja,zafra,siembra,8,fines,11,mediados,usda/gain/Oilseeds_and_Products_Annual_Buenos_Aires_Paraguay_PA2026-0002.pdf,3,"The primary “zafra” crop, planted between late August and mid-November and harvested from late December through mid-March",
soja,zafra,cosecha,12,fines,3,mediados,usda/gain/Oilseeds_and_Products_Annual_Buenos_Aires_Paraguay_PA2026-0002.pdf,3,"The primary “zafra” crop, planted between late August and mid-November and harvested from late December through mid-March",
soja,zafrinia,siembra,1,fines,2,mediados,usda/gain/Oilseeds_and_Products_Annual_Buenos_Aires_Paraguay_PA2026-0002.pdf,3,"the second “zafriña” crop, typically planted in late January to mid-February and harvested from mid-May through July","El informe PA2025-0001 (p. 3) dice 'late January to early February' y cosecha 'from mid May through' (versión anterior)."
soja,zafrinia,cosecha,5,mediados,7,,usda/gain/Oilseeds_and_Products_Annual_Buenos_Aires_Paraguay_PA2026-0002.pdf,3,"the second “zafriña” crop, typically planted in late January to mid-February and harvested from mid-May through July",
maiz,temprano,siembra,8,,9,,usda/gain/Grain_and_Feed_Annual_Buenos_Aires_Paraguay_PA2026-0001.pdf,3,"Early corn, planted in August to September and harvested in December to January","Área chica (50.000–60.000 ha según el mismo informe)."
maiz,temprano,cosecha,12,,1,,usda/gain/Grain_and_Feed_Annual_Buenos_Aires_Paraguay_PA2026-0001.pdf,3,"Early corn, planted in August to September and harvested in December to January",
maiz,zafrinia,siembra,1,,3,inicios,usda/gain/Grain_and_Feed_Annual_Buenos_Aires_Paraguay_PA2026-0001.pdf,3,"Late corn (safrina) is planted in January to early March and harvested between June and August",
maiz,zafrinia,cosecha,6,,8,,usda/gain/Grain_and_Feed_Annual_Buenos_Aires_Paraguay_PA2026-0001.pdf,3,"Late corn (safrina) is planted in January to early March and harvested between June and August",
trigo,unica,siembra,4,,6,,usda/gain/Grain_and_Feed_Annual_Buenos_Aires_Paraguay_PA2026-0001.pdf,2,"the upcoming wheat planting season (April–June)","El informe 2025 (p. 2) dice 'typically planted in April and May'. Cosecha de trigo: no documentada explícitamente en estas fuentes (solo embarques 'following the harvest, between October and December')."
trigo,unica,siembra,4,,5,,FASEA:usda/grain_feed_annual_paraguay_2025.pdf,2,"Wheat in Paraguay is typically planted in April and May",
arroz,unica,siembra,9,inicios,11,inicios,FASEA:usda/grain_feed_annual_paraguay_2025.pdf,8,"Planting took place during the optimal window from early September through the first week of November","Campaña 2024/25; describe la ventana óptima de ese año."
arroz,unica,cosecha,12,fines,4,mediados,FASEA:usda/grain_feed_annual_paraguay_2025.pdf,8,"As of mid-April, the harvest was nearly complete","Inicio (fines de diciembre) tomado de la misma página: 'early harvests in late December'. Campaña 2024/25."
